dataset	gwas_id	qtl_subset	variant	molecular_trait_id	chromosome	position	nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf
LC-ebi-a-GCST004627_GTExV8.adipose_subcutaneous_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.adipose_subcutaneous_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.3136756457009e-16	1.15923809463283e-17	0.871885518092734	0.0768873162289137	0.0512271656783557
LC-ebi-a-GCST004627_GTExV8.adipose_visceral_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.adipose_visceral_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.31822857786408e-16	1.16679181147663e-17	0.878006818214207	0.0776699049773616	0.04432327680843
LC-ebi-a-GCST004627_GTExV8.adrenal_gland_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.adrenal_gland_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.27053705233521e-16	1.42344947443612e-17	0.847817064204653	0.0949281493969725	0.057254786398374
LC-ebi-a-GCST004627_GTExV8.artery_aorta_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.artery_aorta_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.24259899188973e-16	1.8106805351582e-17	0.827115927201501	0.120472610646992	0.0524114621515046
LC-ebi-a-GCST004627_GTExV8.artery_coronary_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.artery_coronary_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.25092324364098e-16	1.56249955850062e-17	0.832186001647997	0.103882515013308	0.0639314833386951
LC-ebi-a-GCST004627_GTExV8.artery_tibial_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.artery_tibial_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.31765551807852e-16	1.27796687787727e-17	0.876147930238755	0.0849368633338268	0.038915206427418
LC-ebi-a-GCST004627_GTExV8.blood_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.blood_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.31482495648888e-16	1.33255406052116e-17	0.874783224902911	0.0886212849879927	0.0365954901090949
LC-ebi-a-GCST004627_GTExV8.brain_amygdala_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.brain_amygdala_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1175	1.25036782372706e-16	1.63820752293154e-17	0.83304463303545	0.109086012860376	0.0578693541041762
LC-ebi-a-GCST004627_GTExV8.brain_anterior_cingulate_cortex_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.brain_anterior_cingulate_cortex_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1165	1.22396899213921e-16	1.64217376802458e-17	0.818423079944573	0.109734281672158	0.0718426383832677
LC-ebi-a-GCST004627_GTExV8.brain_caudate_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.brain_caudate_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1178	1.22721173260081e-16	1.95715730557229e-17	0.81658320705895	0.130175450809961	0.0532413421310895
LC-ebi-a-GCST004627_GTExV8.brain_cerebellar_hemisphere_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.brain_cerebellar_hemisphere_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.14696653935883e-16	2.73537883291384e-17	0.765645166695304	0.182545460087832	0.0518093732168646
LC-ebi-a-GCST004627_GTExV8.brain_cerebellum_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.brain_cerebellum_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.27512953606616e-16	1.45674180178515e-17	0.847758540415512	0.0967947374131266	0.0554467221713592
LC-ebi-a-GCST004627_GTExV8.brain_cortex_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.brain_cortex_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.24390833135273e-16	1.23285222452396e-17	0.829821284055829	0.0821565444271344	0.0880221715170344
LC-ebi-a-GCST004627_GTExV8.brain_frontal_cortex_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.brain_frontal_cortex_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.28491961049429e-16	1.2756762879929e-17	0.856358173282406	0.0849610984675109	0.0586807282500814
LC-ebi-a-GCST004627_GTExV8.brain_hippocampus_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.brain_hippocampus_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1178	1.28013542180116e-16	1.33175125990615e-17	0.853417265340777	0.0887248989717216	0.0578578356875005
LC-ebi-a-GCST004627_GTExV8.brain_hypothalamus_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.brain_hypothalamus_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1170	1.17131255174019e-16	1.94057173954393e-17	0.780959192133098	0.129295646956589	0.0897451609103139
LC-ebi-a-GCST004627_GTExV8.brain_nucleus_accumbens_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.brain_nucleus_accumbens_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.15148945369982e-16	1.87034270208849e-17	0.766976059935862	0.124469927515739	0.1085540125484
LC-ebi-a-GCST004627_GTExV8.brain_putamen_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.brain_putamen_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1177	1.26992261063761e-16	1.41658801489212e-17	0.847470419661814	0.0944765610912736	0.0580530192469096
LC-ebi-a-GCST004627_GTExV8.brain_spinal_cord_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.brain_spinal_cord_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1176	1.27222223783122e-16	1.35835502929322e-17	0.846368892160094	0.0903037018060043	0.0633274060339018
LC-ebi-a-GCST004627_GTExV8.brain_substantia_nigra_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.brain_substantia_nigra_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1173	1.24799879983769e-16	1.53327652122033e-17	0.833718386821373	0.102365736137781	0.0639158770408428
LC-ebi-a-GCST004627_GTExV8.breast_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.breast_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.30151190195013e-16	1.33244396950361e-17	0.867136897762514	0.0887304170078252	0.0441326852296615
LC-ebi-a-GCST004627_GTExV8.colon_sigmoid_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.colon_sigmoid_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.28023375625579e-16	1.31845931129195e-17	0.853167370018049	0.0878051189852316	0.0590275109967164
LC-ebi-a-GCST004627_GTExV8.colon_transverse_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.colon_transverse_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.30318700199188e-16	1.24146554769212e-17	0.868431423069323	0.0826811959167711	0.0488873810139021
LC-ebi-a-GCST004627_GTExV8.esophagus_gej_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.esophagus_gej_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.28415939884281e-16	1.25127761438086e-17	0.857851114652332	0.0835299057162449	0.0586189796314205
LC-ebi-a-GCST004627_GTExV8.esophagus_mucosa_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.esophagus_mucosa_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	3.14257024290743e-17	3.39520225704718e-17	0.209362354423357	0.225628037272089	0.565009608304551
LC-ebi-a-GCST004627_GTExV8.esophagus_muscularis_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.esophagus_muscularis_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.29255234331767e-16	1.45799764916175e-17	0.861711938936678	0.097159885595431	0.0411281754678945
LC-ebi-a-GCST004627_GTExV8.fibroblast_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.fibroblast_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.28769438099442e-16	1.49994233518799e-17	0.859097218358048	0.100029166829283	0.0408736148126681
LC-ebi-a-GCST004627_GTExV8.heart_atrial_appendage_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.heart_atrial_appendage_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.31019519170034e-16	1.19924711509541e-17	0.869436778969344	0.0795302046145719	0.0510330164160839
LC-ebi-a-GCST004627_GTExV8.heart_left_ventricle_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.heart_left_ventricle_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.3057427779016e-16	1.1950008290018e-17	0.865937973700468	0.0791947839101267	0.0548672423894082
LC-ebi-a-GCST004627_GTExV8.kidney_cortex_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.kidney_cortex_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1155	1.21298004085788e-16	1.6935679803695e-17	0.815881776268113	0.113843491819219	0.0702747319126644
LC-ebi-a-GCST004627_GTExV8.LCL_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.LCL_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1177	1.25575296621317e-16	1.4771726561434e-17	0.836805495932624	0.0983706352031353	0.0648238688642394
LC-ebi-a-GCST004627_GTExV8.liver_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.liver_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1177	1.26695733514681e-16	1.55140409734572e-17	0.842132953650858	0.103065364922478	0.0548016814266638
LC-ebi-a-GCST004627_GTExV8.lung_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.lung_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.28134183720344e-16	1.59587282279374e-17	0.853124177249985	0.106213394796385	0.0406624279536313
LC-ebi-a-GCST004627_GTExV8.minor_salivary_gland_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.minor_salivary_gland_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.24710922180903e-16	1.51081118623207e-17	0.829152083042244	0.100377206224147	0.0704707107336122
LC-ebi-a-GCST004627_GTExV8.muscle_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.muscle_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.27612374555466e-16	1.16361976280855e-17	0.84890068915144	0.0773323327045382	0.0737669781440197
LC-ebi-a-GCST004627_GTExV8.nerve_tibial_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.nerve_tibial_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.26510635620798e-16	1.53510452145536e-17	0.842068921469129	0.10212246298835	0.0558086155425235
LC-ebi-a-GCST004627_GTExV8.ovary_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.ovary_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1177	1.24286006693153e-16	1.58490368103437e-17	0.826541975047495	0.105333074560055	0.0681249503924468
LC-ebi-a-GCST004627_GTExV8.pancreas_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.pancreas_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	6.95306002583076e-17	1.89533263660318e-17	0.462183034247021	0.12557409777029	0.412242867982691
LC-ebi-a-GCST004627_GTExV8.pituitary_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.pituitary_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.22502377335241e-16	1.32791579713244e-17	0.816262363714938	0.0883868248785755	0.0953508114064893
LC-ebi-a-GCST004627_GTExV8.prostate_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.prostate_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.19040763898341e-16	2.08121172228936e-17	0.79343121090818	0.138649128424013	0.0679196606678104
LC-ebi-a-GCST004627_GTExV8.skin_not_sun_exposed_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.skin_not_sun_exposed_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.26672421294115e-16	1.22576217407247e-17	0.842826214593993	0.0814814834914878	0.07569230191452
LC-ebi-a-GCST004627_GTExV8.skin_sun_exposed_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.skin_sun_exposed_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.30448935803807e-16	1.33222026657699e-17	0.866532591607597	0.088450321957598	0.0450170864348078
LC-ebi-a-GCST004627_GTExV8.small_intestine_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.small_intestine_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1176	1.27223734566723e-16	1.28798675852198e-17	0.852511489569697	0.08624525559092	0.0612432548393842
LC-ebi-a-GCST004627_GTExV8.spleen_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.spleen_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1178	1.23789953217441e-16	1.61308961782245e-17	0.826606584187164	0.107648206069797	0.065745209743042
LC-ebi-a-GCST004627_GTExV8.stomach_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.stomach_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.26221509467826e-16	1.41862388054159e-17	0.840262624648414	0.0943731058675443	0.0653642694840386
LC-ebi-a-GCST004627_GTExV8.testis_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.testis_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.3005516345719e-16	1.26396679395814e-17	0.864011973186758	0.0839186407849522	0.0520693860282924
LC-ebi-a-GCST004627_GTExV8.thyroid_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.thyroid_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1179	1.20481505976854e-16	1.78068669997807e-17	0.801356355951706	0.11835819134225	0.0802854527060456
LC-ebi-a-GCST004627_GTExV8.uterus_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.uterus_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1169	1.21681536307286e-16	1.40681916584548e-17	0.80999895789357	0.0935514523731305	0.0964495897332973
LC-ebi-a-GCST004627_GTExV8.vagina_ge.txt.gz	LC-ebi-a-GCST004627	GTExV8.vagina_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1157	1.26921130533074e-16	1.3035642972591e-17	0.841862198879859	0.0863930938158481	0.0717447073042911
LC-ebi-a-GCST004627_HipSci.iPSC_ge.txt.gz	LC-ebi-a-GCST004627	HipSci.iPSC_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1120	1.10992801757578e-16	1.16120013955994e-17	0.787911219400655	0.0823010188708664	0.12978776172848
LC-ebi-a-GCST004627_Lepik_2017.blood_ge.txt.gz	LC-ebi-a-GCST004627	Lepik_2017.blood_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1034	1.31620604719195e-16	1.08505811258562e-17	0.879353287030297	0.0724442024557652	0.0482025105139369
LC-ebi-a-GCST004627_Nedelec_2016.macrophage_Listeria_ge.txt.gz	LC-ebi-a-GCST004627	Nedelec_2016.macrophage_Listeria_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1358	1.13509373279798e-16	1.86989382139187e-17	0.811972101150476	0.133705698775575	0.0543222000739453
LC-ebi-a-GCST004627_Nedelec_2016.macrophage_naive_ge.txt.gz	LC-ebi-a-GCST004627	Nedelec_2016.macrophage_naive_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1358	8.54397810979666e-17	1.73403906274556e-17	0.61064996610755	0.123668495408973	0.265681538483476
LC-ebi-a-GCST004627_Nedelec_2016.macrophage_Salmonella_ge.txt.gz	LC-ebi-a-GCST004627	Nedelec_2016.macrophage_Salmonella_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1358	1.06195636242493e-16	1.50330179332028e-17	0.75931461023273	0.107354986032416	0.133330403734857
LC-ebi-a-GCST004627_Quach_2016.monocyte_IAV_ge.txt.gz	LC-ebi-a-GCST004627	Quach_2016.monocyte_IAV_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1339	8.32615369639775e-17	2.05892634631005e-17	0.603097728191804	0.14888853204741	0.248013739760785
LC-ebi-a-GCST004627_Quach_2016.monocyte_LPS_ge.txt.gz	LC-ebi-a-GCST004627	Quach_2016.monocyte_LPS_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1339	7.17036254689262e-17	5.71607713003984e-17	0.518372141480554	0.413167987154713	0.0684598713647329
LC-ebi-a-GCST004627_Quach_2016.monocyte_naive_ge.txt.gz	LC-ebi-a-GCST004627	Quach_2016.monocyte_naive_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1339	9.34776274956518e-17	1.89712900404799e-17	0.676971320253137	0.137205546434838	0.185823133312023
LC-ebi-a-GCST004627_Quach_2016.monocyte_Pam3CSK4_ge.txt.gz	LC-ebi-a-GCST004627	Quach_2016.monocyte_Pam3CSK4_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1339	7.16954239697658e-17	5.74370569032446e-17	0.519163162988663	0.415850039344353	0.0649867976669807
LC-ebi-a-GCST004627_Quach_2016.monocyte_R848_ge.txt.gz	LC-ebi-a-GCST004627	Quach_2016.monocyte_R848_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1339	1.09859056649103e-16	1.95824439277381e-17	0.795249994140428	0.141690737767777	0.0630592680917943
LC-ebi-a-GCST004627_ROSMAP.brain_naive_ge.txt.gz	LC-ebi-a-GCST004627	ROSMAP.brain_naive_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1162	1.20926152838794e-16	1.14625371940511e-17	0.863557003635099	0.0818015496333433	0.0546414467315571
LC-ebi-a-GCST004627_Schmiedel_2018.B-cell_naive_ge.txt.gz	LC-ebi-a-GCST004627	Schmiedel_2018.B-cell_naive_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1259	1.13551522793327e-16	1.56335924798317e-17	0.795734253331639	0.109460617226911	0.0948051294414513
LC-ebi-a-GCST004627_Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_ge.txt.gz	LC-ebi-a-GCST004627	Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1259	9.50790166721564e-17	1.47234426877978e-17	0.666786260439276	0.10302486817701	0.230188871383712
LC-ebi-a-GCST004627_Schmiedel_2018.CD4_T-cell_naive_ge.txt.gz	LC-ebi-a-GCST004627	Schmiedel_2018.CD4_T-cell_naive_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1259	3.2901054887484e-33	2.78541678967367e-18	2.30873687197718e-17	0.0185644253959216	0.981435574604078
LC-ebi-a-GCST004627_Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_ge.txt.gz	LC-ebi-a-GCST004627	Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1259	1.1199107915147e-16	1.86586197797176e-17	0.785397674927575	0.130769773855482	0.0838325512169404
LC-ebi-a-GCST004627_Schmiedel_2018.CD8_T-cell_naive_ge.txt.gz	LC-ebi-a-GCST004627	Schmiedel_2018.CD8_T-cell_naive_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1259	1.05331290870622e-16	1.37733689407262e-17	0.738685148470107	0.0964273311529025	0.164887520376993
LC-ebi-a-GCST004627_Schmiedel_2018.monocyte_CD16_naive_ge.txt.gz	LC-ebi-a-GCST004627	Schmiedel_2018.monocyte_CD16_naive_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1259	9.68912314078293e-17	1.29560558759923e-17	0.678969859640911	0.0905597002678787	0.230470440091209
LC-ebi-a-GCST004627_Schmiedel_2018.monocyte_naive_ge.txt.gz	LC-ebi-a-GCST004627	Schmiedel_2018.monocyte_naive_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1259	1.01060222504819e-16	1.45506585998631e-17	0.708199051128245	0.101776529367002	0.190024419504753
LC-ebi-a-GCST004627_Schmiedel_2018.NK-cell_naive_ge.txt.gz	LC-ebi-a-GCST004627	Schmiedel_2018.NK-cell_naive_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1259	1.17872657032308e-16	1.45371422642977e-17	0.826175612504458	0.101819584957576	0.0720048025379626
LC-ebi-a-GCST004627_Schmiedel_2018.Tfh_memory_ge.txt.gz	LC-ebi-a-GCST004627	Schmiedel_2018.Tfh_memory_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1259	1.14373015558365e-16	1.39514656122702e-17	0.802094489494849	0.0977410407598939	0.100164469745256
LC-ebi-a-GCST004627_Schmiedel_2018.Th1_memory_ge.txt.gz	LC-ebi-a-GCST004627	Schmiedel_2018.Th1_memory_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1259	9.1980341675712e-17	1.2625224646473e-17	0.645719897400585	0.0883656193299227	0.265914483269494
LC-ebi-a-GCST004627_Schmiedel_2018.Th1-17_memory_ge.txt.gz	LC-ebi-a-GCST004627	Schmiedel_2018.Th1-17_memory_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1259	9.94134923863733e-18	2.61953416798537e-17	0.0697649677833573	0.183082740865036	0.74715229135161
LC-ebi-a-GCST004627_Schmiedel_2018.Th17_memory_ge.txt.gz	LC-ebi-a-GCST004627	Schmiedel_2018.Th17_memory_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1259	9.4537743555695e-18	8.62192942843597e-18	0.0662990328488843	0.0595912198551472	0.874109747295968
LC-ebi-a-GCST004627_Schmiedel_2018.Th2_memory_ge.txt.gz	LC-ebi-a-GCST004627	Schmiedel_2018.Th2_memory_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1259	5.7945155377365e-17	9.51774140241513e-18	0.406367617345802	0.0662202196454608	0.527412163008738
LC-ebi-a-GCST004627_Schmiedel_2018.Treg_memory_ge.txt.gz	LC-ebi-a-GCST004627	Schmiedel_2018.Treg_memory_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1259	1.04049226908035e-16	3.02535949407508e-17	0.729694072781924	0.212109347231976	0.0581965799861026
LC-ebi-a-GCST004627_Schmiedel_2018.Treg_naive_ge.txt.gz	LC-ebi-a-GCST004627	Schmiedel_2018.Treg_naive_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1259	1.18230424257218e-16	1.48953293181054e-17	0.829146379715411	0.104394033186799	0.0664595870977901
LC-ebi-a-GCST004627_Schwartzentruber_2018.sensory_neuron_ge.txt.gz	LC-ebi-a-GCST004627	Schwartzentruber_2018.sensory_neuron_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1115	1.18193946475267e-16	1.23485015631623e-17	0.840183800473994	0.0877074373389129	0.0721087621870919
LC-ebi-a-GCST004627_TwinsUK.blood_ge.txt.gz	LC-ebi-a-GCST004627	TwinsUK.blood_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1137	1.00734621582701e-16	1.35078801947231e-17	0.719163767088198	0.0962507597297364	0.184585473182069
LC-ebi-a-GCST004627_TwinsUK.fat_ge.txt.gz	LC-ebi-a-GCST004627	TwinsUK.fat_ge	chr2_160430631_G_A	ENSG00000153250	2	160430631	1137	7.88857771035543e-17	5.21793476576843e-17	0.562052283902353	0.371705737716232	0.0662419783814115
