file_name	molecular_trait_id	chromosome	position	ref	alt	variant	ma_samples	maf	pvalue	beta	se	type	ac	an	r2	molecular_trait_object_id	gene_id	median_tpm	rsid
GTExV8.brain_anterior_cingulate_cortex_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	102	0.442177	0.193463	0.0469894	0.0359517	SNP	130	294	NA	ENSG00000113161	ENSG00000113161	54.513	rs3846662
GTExV8.brain_caudate_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	143	0.492268	0.513887	0.0176076	0.0269191	SNP	191	388	NA	ENSG00000113161	ENSG00000113161	54.513	rs3846662
GTExV8.brain_cerebellar_hemisphere_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	124	0.474286	0.214552	0.0382397	0.0306884	SNP	166	350	NA	ENSG00000113161	ENSG00000113161	54.513	rs3846662
GTExV8.brain_cerebellum_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	155	0.483254	0.155355	0.0369913	0.0259335	SNP	202	418	NA	ENSG00000113161	ENSG00000113161	54.513	rs3846662
GTExV8.brain_cortex_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	151	0.495122	0.0365722	0.0681479	0.0323696	SNP	203	410	NA	ENSG00000113161	ENSG00000113161	54.513	rs3846662
GTExV8.brain_frontal_cortex_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	122	0.431429	0.885921	0.00591779	0.041183	SNP	151	350	NA	ENSG00000113161	ENSG00000113161	30.88	rs3846662
GTExV8.brain_hippocampus_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	116	0.445455	0.822873	-0.00961654	0.0428848	SNP	147	330	NA	ENSG00000113161	ENSG00000113161	30.88	rs3846662
GTExV8.brain_hypothalamus_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	116	0.429412	0.357711	0.0427484	0.0463415	SNP	146	340	NA	ENSG00000113161	ENSG00000113161	30.88	rs3846662
GTExV8.brain_nucleus_accumbens_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	142	0.455446	0.394038	-0.0289941	0.0339399	SNP	184	404	NA	ENSG00000113161	ENSG00000113161	30.88	rs3846662
GTExV8.brain_putamen_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	124	0.467647	0.968944	0.00133068	0.0341241	SNP	159	340	NA	ENSG00000113161	ENSG00000113161	30.88	rs3846662
GTExV8.brain_spinal_cord_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	86	0.436508	0.781088	-0.017192	0.0617151	SNP	110	252	NA	ENSG00000113161	ENSG00000113161	30.88	rs3846662
GTExV8.brain_substantia_nigra_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	84	0.473684	0.249153	-0.0647844	0.0558893	SNP	108	228	NA	ENSG00000113161	ENSG00000113161	30.88	rs3846662
GTExV8.breast_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	280	0.483503	0.596416	0.0154409	0.0291334	SNP	381	788	NA	ENSG00000113161	ENSG00000113161	17.557	rs3846662
GTExV8.colon_sigmoid_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	223	0.468553	0.00309905	0.0676241	0.0226803	SNP	298	636	NA	ENSG00000113161	ENSG00000113161	56.541	rs3846662
GTExV8.colon_transverse_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	260	0.485054	0.683065	0.0129589	0.0317136	SNP	379	736	NA	ENSG00000113161	ENSG00000113161	56.541	rs3846662
GTExV8.esophagus_gej_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	241	0.490909	0.421322	0.0178649	0.0221874	SNP	324	660	NA	ENSG00000113161	ENSG00000113161	16.351	rs3846662
GTExV8.esophagus_mucosa_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	358	0.493915	0.106343	0.0441728	0.0273025	SNP	487	986	NA	ENSG00000113161	ENSG00000113161	16.351	rs3846662
GTExV8.esophagus_muscularis_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	328	0.484816	0.0121647	0.0458248	0.0182019	SNP	447	922	NA	ENSG00000113161	ENSG00000113161	16.351	rs3846662
GTExV8.fibroblast_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	346	0.480331	0.271036	0.0247075	0.022421	SNP	464	966	NA	ENSG00000113161	ENSG00000113161	29.45	rs3846662
GTExV8.heart_atrial_appendage_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	274	0.490591	0.74703	-0.0128811	0.0399034	SNP	365	744	NA	ENSG00000113161	ENSG00000113161	9.387	rs3846662
GTExV8.heart_left_ventricle_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	274	0.477749	0.113262	0.0363418	0.0228927	SNP	365	764	NA	ENSG00000113161	ENSG00000113161	9.387	rs3846662
GTExV8.kidney_cortex_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	54	0.486301	0.284011	0.121578	0.112448	SNP	75	146	NA	ENSG00000113161	ENSG00000113161	21.103	rs3846662
GTExV8.LCL_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	108	0.5	0.603882	-0.0197353	0.0379477	SNP	147	294	NA	ENSG00000113161	ENSG00000113161	98.869	rs3846662
GTExV8.liver_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	144	0.456731	0.81589	0.0210415	0.0902486	SNP	190	416	NA	ENSG00000113161	ENSG00000113161	21.103	rs3846662
GTExV8.lung_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	361	0.482353	0.542771	0.0206695	0.0339374	SNP	492	1020	NA	ENSG00000113161	ENSG00000113161	21.103	rs3846662
GTExV8.minor_salivary_gland_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	98	0.46875	0.740238	0.0206279	0.0620863	SNP	153	288	NA	ENSG00000113161	ENSG00000113161	33.2	rs3846662
GTExV8.muscle_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	505	0.487892	9.16006e-05	0.0642405	0.0163249	SNP	685	1404	NA	ENSG00000113161	ENSG00000113161	5.155	rs3846662
GTExV8.nerve_tibial_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	375	0.473684	0.792036	-0.00707249	0.0268097	SNP	504	1064	NA	ENSG00000113161	ENSG00000113161	29.45	rs3846662
GTExV8.ovary_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	111	0.452096	0.325222	0.0844854	0.085602	SNP	151	334	NA	ENSG00000113161	ENSG00000113161	58.595	rs3846662
GTExV8.pancreas_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	223	0.498361	0.652294	-0.0148331	0.0328863	SNP	304	610	NA	ENSG00000113161	ENSG00000113161	21.103	rs3846662
GTExV8.pituitary_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	168	0.466245	0.669147	0.0123324	0.0288216	SNP	221	474	NA	ENSG00000113161	ENSG00000113161	33.2	rs3846662
GTExV8.prostate_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	159	0.495413	0.498238	0.0254372	0.0374916	SNP	216	436	NA	ENSG00000113161	ENSG00000113161	21.103	rs3846662
GTExV8.skin_not_sun_exposed_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	373	0.484526	0.998919	3.55288e-05	0.026222	SNP	501	1034	NA	ENSG00000113161	ENSG00000113161	109.775	rs3846662
GTExV8.skin_sun_exposed_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	435	0.492525	0.876632	-0.00335304	0.0215896	SNP	593	1204	NA	ENSG00000113161	ENSG00000113161	109.775	rs3846662
GTExV8.small_intestine_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	123	0.485632	0.013579	0.120351	0.0482203	SNP	169	348	NA	ENSG00000113161	ENSG00000113161	38.457	rs3846662
GTExV8.spleen_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	165	0.486784	0.0861758	0.0428152	0.0248362	SNP	233	454	NA	ENSG00000113161	ENSG00000113161	38.457	rs3846662
GTExV8.stomach_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	238	0.498457	0.0923251	0.0652087	0.0386198	SNP	323	648	NA	ENSG00000113161	ENSG00000113161	38.457	rs3846662
GTExV8.testis_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	233	0.498447	0.0755135	0.0414278	0.0232303	SNP	321	644	NA	ENSG00000113161	ENSG00000113161	38.457	rs3846662
GTExV8.thyroid_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	418	0.49216	0.0179155	0.0599524	0.0252499	SNP	565	1148	NA	ENSG00000113161	ENSG00000113161	33.2	rs3846662
GTExV8.uterus_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	91	0.484496	0.394493	0.0506872	0.059304	SNP	125	258	NA	ENSG00000113161	ENSG00000113161	58.595	rs3846662
GTExV8.vagina_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	95	0.446809	0.14116	0.0865838	0.0584745	SNP	126	282	NA	ENSG00000113161	ENSG00000113161	58.595	rs3846662
HipSci.iPSC_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	214	0.42236	0.0652365	-0.0440673	0.0238171	SNP	272	644	0.99998	ENSG00000113161	ENSG00000113161	223.521	rs3846662
Lepik_2017.blood_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	338	0.477707	0.119979	0.0141486	0.00908261	SNP	450	942	NA	ENSG00000113161	ENSG00000113161	39.026	rs3846662
Nedelec_2016.macrophage_Listeria_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	96	0.368098	0.578428	-0.0260695	0.0468115	SNP	206	326	1	ENSG00000113161	ENSG00000113161	6.097	rs3846662
Nedelec_2016.macrophage_naive_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	96	0.371166	0.919518	0.00386879	0.0382247	SNP	205	326	1	ENSG00000113161	ENSG00000113161	6.097	rs3846662
Nedelec_2016.macrophage_Salmonella_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	99	0.374251	0.944646	-0.00289087	0.0415678	SNP	209	334	1	ENSG00000113161	ENSG00000113161	6.097	rs3846662
Quach_2016.monocyte_IAV_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	94	0.323232	0.682016	-0.0174599	0.0425472	SNP	268	396	0.99993	ENSG00000113161	ENSG00000113161	23.132	rs3846662
Quach_2016.monocyte_LPS_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	91	0.336957	0.309688	0.0395604	0.0388258	SNP	244	368	0.99993	ENSG00000113161	ENSG00000113161	23.132	rs3846662
Quach_2016.monocyte_naive_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	95	0.325	0.772111	0.012485	0.0430465	SNP	270	400	0.99993	ENSG00000113161	ENSG00000113161	23.132	rs3846662
Quach_2016.monocyte_Pam3CSK4_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	95	0.331633	0.220019	0.0445768	0.0362203	SNP	262	392	0.99993	ENSG00000113161	ENSG00000113161	23.132	rs3846662
Quach_2016.monocyte_R848_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	92	0.329843	0.456024	0.0263166	0.0352273	SNP	256	382	0.99993	ENSG00000113161	ENSG00000113161	23.132	rs3846662
ROSMAP.brain_naive_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	372	0.399824	0.256952	-0.021044	0.0185444	SNP	454	1138	0.9149	ENSG00000113161	ENSG00000113161	37.761	rs3846662
Schmiedel_2018.B-cell_naive_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	62	0.456044	0.198347	0.028019	0.0215953	SNP	83	182	1	ENSG00000113161	ENSG00000113161	56.208	rs3846662
Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	62	0.466292	0.724022	0.0113784	0.0321047	SNP	83	178	1	ENSG00000113161	ENSG00000113161	56.208	rs3846662
Schmiedel_2018.CD4_T-cell_naive_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	61	0.465909	0.00391188	0.0597043	0.0200432	SNP	82	176	1	ENSG00000113161	ENSG00000113161	56.208	rs3846662
Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	61	0.460227	0.497183	0.0245559	0.0359902	SNP	81	176	1	ENSG00000113161	ENSG00000113161	56.208	rs3846662
Schmiedel_2018.CD8_T-cell_naive_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	62	0.466292	0.149393	0.033794	0.0232001	SNP	83	178	1	ENSG00000113161	ENSG00000113161	56.208	rs3846662
Schmiedel_2018.monocyte_CD16_naive_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	62	0.461111	0.000663609	0.0573656	0.0161567	SNP	83	180	1	ENSG00000113161	ENSG00000113161	56.208	rs3846662
Schmiedel_2018.monocyte_naive_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	62	0.456044	0.296473	0.026215	0.0249391	SNP	83	182	1	ENSG00000113161	ENSG00000113161	56.208	rs3846662
Schmiedel_2018.NK-cell_naive_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	62	0.461111	0.388097	-0.0211967	0.0244186	SNP	83	180	1	ENSG00000113161	ENSG00000113161	56.208	rs3846662
Schmiedel_2018.Tfh_memory_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	62	0.466292	0.634005	0.0132475	0.0277116	SNP	83	178	1	ENSG00000113161	ENSG00000113161	56.208	rs3846662
Schmiedel_2018.Th1_memory_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	57	0.469512	0.299165	0.0243772	0.0233003	SNP	77	164	1	ENSG00000113161	ENSG00000113161	56.208	rs3846662
Schmiedel_2018.Th1-17_memory_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	61	0.465909	0.571308	0.00938322	0.0165005	SNP	82	176	1	ENSG00000113161	ENSG00000113161	56.208	rs3846662
Schmiedel_2018.Th17_memory_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	62	0.466292	0.825101	0.00449072	0.0202501	SNP	83	178	1	ENSG00000113161	ENSG00000113161	56.208	rs3846662
Schmiedel_2018.Th2_memory_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	62	0.466292	0.261549	0.0263489	0.0232916	SNP	83	178	1	ENSG00000113161	ENSG00000113161	56.208	rs3846662
Schmiedel_2018.Treg_memory_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	62	0.466292	0.218977	0.0225752	0.0182112	SNP	83	178	1	ENSG00000113161	ENSG00000113161	56.208	rs3846662
Schmiedel_2018.Treg_naive_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	62	0.466292	0.0930045	0.0295359	0.0173595	SNP	83	178	1	ENSG00000113161	ENSG00000113161	56.208	rs3846662
Schwartzentruber_2018.sensory_neuron_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	67	0.443878	0.312972	0.0526822	0.0518985	SNP	87	196	0.99998	ENSG00000113161	ENSG00000113161	727.66	rs3846662
TwinsUK.blood_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	141	0.464103	0.252507	0.0203052	0.0176883	SNP	181	390	0.98651	ENSG00000113161	ENSG00000113161	10.592	rs3846662
TwinsUK.fat_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	264	0.43832	0.0142843	0.0414768	0.0168484	SNP	334	762	0.98651	ENSG00000113161	ENSG00000113161	10.592	rs3846662
TwinsUK.LCL_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	289	0.437799	0.859876	0.00245399	0.0138923	SNP	366	836	0.98651	ENSG00000113161	ENSG00000113161	10.592	rs3846662
TwinsUK.skin_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	254	0.437838	3.7698e-06	0.188742	0.0401804	SNP	324	740	0.98651	ENSG00000113161	ENSG00000113161	10.592	rs3846662
van_de_Bunt_2015.pancreatic_islet_ge.tsv.gz	ENSG00000113161	5	75355259	A	G	chr5_75355259_A_G	77	0.423077	0.275004	0.0604815	0.055111	SNP	99	234	0.99999	ENSG00000113161	ENSG00000113161	41.74	rs3846662
